Feature,SHAP_Importance
Age,0.8443030741708402
Baseline_Severity,0.4658305112309451
Biomarker_1,0.38588336620065783
Covariate_7,0.06112525908992066
Covariate_8,0.025519688392261125
Sex,0.015326432781650925
Covariate_5,0.013521816218184438
Covariate_6,0.009982697515305628
Covariate_10,0.008881450885877867
Covariate_9,0.006084688324744256
